checkin_info,type,business_id
"{'11-3': 17, '8-5': 1, '15-0': 2, '15-3': 2, '15-5': 2, '14-4': 1, '14-5': 3, '14-6': 6, '14-0': 2, '14-1': 2, '14-3': 2, '0-5': 1, '1-6': 1, '11-5': 3, '11-4': 11, '13-1': 1, '11-6': 6, '11-1': 18, '13-6': 5, '13-5': 4, '11-2': 9, '12-6': 5, '12-4': 8, '12-5': 5, '12-2': 12, '12-3': 19, '12-0': 20, '12-1': 14, '13-3': 1, '9-5': 2, '9-4': 1, '13-2': 6, '20-1': 1, '9-6': 4, '16-3': 1, '16-1': 1, '16-5': 1, '10-0': 3, '10-1': 4, '10-2': 4, '10-3': 4, '10-4': 1, '10-5': 2, '10-6': 2, '11-0': 3}",checkin,KO9CpaSPOoqm0iCWm5scmg
"{'0-5': 1, '2-6': 2, '2-5': 3, '3-6': 1, '3-5': 1, '19-4': 1, '19-2': 1, '18-0': 1, '23-0': 1, '17-4': 1, '18-5': 4, '17-1': 1, '11-2': 1, '12-6': 1, '0-0': 3, '14-6': 1, '1-6': 2, '20-3': 1, '10-6': 1, '13-6': 1}",checkin,oRqBAYtcBYZHXA7G8FlPaA
"{'13-4': 1, '7-4': 1, '15-3': 1, '18-5': 1, '23-4': 1, '14-6': 1, '14-2': 1, '0-2': 1, '19-1': 1, '19-0': 1, '19-3': 1, '19-2': 1, '11-5': 4, '11-6': 5, '11-3': 1, '10-1': 1, '6-4': 1, '6-2': 1, '6-3': 1, '12-1': 1, '9-2': 1, '9-5': 1, '10-4': 1, '20-5': 1, '7-5': 2, '20-6': 1, '16-3': 1, '17-4': 1, '10-6': 2, '10-0': 1, '8-5': 1, '21-6': 1, '10-3': 1, '21-0': 1, '10-5': 1, '8-2': 1}",checkin,6cy2C9aBXUwkrh4bY1DApw
"{'13-5': 1, '17-6': 1, '15-1': 1, '20-0': 1, '12-3': 1, '19-2': 1, '11-5': 2, '10-0': 1, '11-1': 2, '11-0': 1, '17-1': 1, '13-4': 2, '12-6': 1, '10-1': 1, '12-5': 1, '10-5': 2, '13-2': 1}",checkin,D0IB17N66FiyYDCzTlAI4A
"{'16-2': 1, '14-5': 1, '12-5': 2, '15-4': 1, '13-4': 1}",checkin,HLQGo3EaYVvAv22bONGkIw
"{'18-4': 1, '15-5': 1, '18-5': 1, '19-3': 1}",checkin,J6OojF0R_1OuwNlrZI-ynQ
"{'8-4': 1, '6-6': 1, '15-1': 1, '15-0': 1, '18-1': 3, '14-4': 1, '14-1': 2, '14-2': 1, '11-5': 2, '11-4': 1, '13-1': 2, '11-1': 1, '13-6': 2, '13-5': 1, '12-6': 2, '12-5': 1, '12-0': 1, '5-4': 1, '9-6': 1, '7-6': 4, '7-5': 1, '17-5': 1, '16-1': 1, '17-1': 1, '10-0': 1, '8-5': 1, '8-6': 2, '10-5': 1, '10-6': 2}",checkin,qgNlUte2tSI7OufuuvR8DA
"{'16-0': 3, '21-1': 1, '13-5': 7, '8-5': 1, '8-0': 1, '17-2': 2, '17-6': 3, '15-0': 1, '15-3': 2, '15-2': 5, '15-5': 5, '15-4': 3, '15-6': 4, '18-0': 2, '18-1': 3, '18-2': 5, '16-1': 1, '18-4': 3, '18-5': 6, '18-6': 10, '11-2': 1, '14-4': 1, '14-5': 5, '14-6': 10, '14-0': 1, '14-3': 1, '17-3': 2, '19-6': 3, '19-5': 4, '19-4': 3, '16-5': 10, '19-1': 6, '19-0': 6, '19-3': 3, '19-2': 11, '13-3': 3, '11-4': 4, '13-1': 5, '11-6': 8, '11-1': 3, '13-6': 8, '11-3': 2, '13-4': 4, '12-6': 7, '12-4': 5, '12-5': 5, '12-2': 1, '12-3': 2, '12-0': 2, '12-1': 3, '9-1': 1, '11-5': 4, '9-2': 2, '1-1': 1, '18-3': 4, '9-6': 1, '20-1': 2, '20-0': 3, '20-3': 2, '20-5': 3, '20-6': 1, '16-3': 3, '17-5': 5, '17-4': 6, '16-6': 3, '10-6': 5, '7-2': 1, '17-0': 5, '13-2': 2, '10-1': 2, '10-2': 2, '10-3': 1, '10-4': 4, '10-5': 2, '21-2': 1, '11-0': 1}",checkin,RUZvUPOn90ScX60eETwcCw
"{'17-1': 2, '10-6': 1, '12-0': 2, '19-2': 1, '13-3': 2, '13-2': 3, '17-5': 1, '13-0': 1, '17-3': 1, '13-6': 2, '18-6': 1, '16-5': 1, '14-4': 1, '14-5': 1, '12-4': 1, '14-0': 1, '14-2': 2, '11-0': 1}",checkin,I0UXl0AwcpSZCd4_3YCccA
"{'23-2': 1, '12-5': 1, '9-5': 1, '9-4': 1, '12-0': 1, '19-2': 1, '13-3': 1, '22-6': 1, '17-4': 1, '17-2': 1, '17-1': 1, '6-6': 1, '12-4': 1, '7-4': 1, '8-2': 1, '8-3': 2}",checkin,ypDZCOYcy4hPkLwFtiNp5g
